#SpeciesNO	Correct	Corrected	Total	Pct
SI-NA-A2_1	3	14911	14914	0.0030%
SI-NA-A2_2	40	49249	49289	0.0100%
SI-NA-A2_3	70	141002	141072	0.0285%
SI-NA-A2_4	12	44882	44894	0.0091%
SI-NA-A3_1	1270	190307	191577	0.0387%
SI-NA-A3_2	3	10116	10119	0.0020%
SI-NA-A3_3	1	13618	13619	0.0028%
SI-NA-A3_4	188	13920752	13920940	2.8139%
SI-NA-B2_1	10	91630	91640	0.0185%
SI-NA-B2_2	108	43517	43625	0.0088%
SI-NA-B2_3	187	11974348	11974535	2.4205%
SI-NA-B2_4	1	28966	28967	0.0059%
SI-NA-B3_1	19	67273	67292	0.0136%
SI-NA-B3_2	701	524937	525638	0.1062%
SI-NA-B3_3	173	95002	95175	0.0192%
SI-NA-B3_4	7	15214	15221	0.0031%
SI-NA-C2_1	40	31029	31069	0.0063%
SI-NA-C2_2	42	33534	33576	0.0068%
SI-NA-C2_3	30	53297	53327	0.0108%
SI-NA-C2_4	5	8765	8770	0.0018%
SI-NA-C3_1	177	11734057	11734234	2.3719%
SI-NA-C3_2	10	20557	20567	0.0042%
SI-NA-C3_3	38	95822	95860	0.0194%
SI-NA-C3_4	3	9449	9452	0.0019%
SI-NA-D2_1	18	30606	30624	0.0062%
SI-NA-D2_2	1	6622	6623	0.0013%
SI-NA-D2_3	106	52012	52118	0.0105%
SI-NA-D2_4	27	127917	127944	0.0259%
SI-NA-D3_1	74	73048	73122	0.0148%
SI-NA-D3_2	68	146747	146815	0.0297%
SI-NA-D3_3	74	35415	35489	0.0072%
SI-NA-D3_4	5	19121388	19121393	3.8651%
Total	3511	58805989	58809500	11.8874%
